Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Version	Scenario	NumAlleles	Number	GenoError	gtyp.err.assumption
afACaamn	10	13	13	6	6	9	0	0	ColonyNewVersion	allpathalf	5	12	n	d.02m.02
afACaanh	10	10	10	2	2	3	0	0	ColonyNewVersion	allpathalf	5	13	h	d.02m.02
afACaanl	10	14	14	2	2	3	0	0	ColonyNewVersion	allpathalf	5	13	l	d.02m.02
afACaann	10	14	14	NA	NA	0	0	0	ColonyNewVersion	allpathalf	5	13	n	d.02m.02
afACaaoh	10	15	15	3	3	4	0	0	ColonyNewVersion	allpathalf	5	14	h	d.02m.02
afACaaol	10	20	20	4	4	6	0	0	ColonyNewVersion	allpathalf	5	14	l	d.02m.02
afACaaon	10	17	17	4	4	6	0	0	ColonyNewVersion	allpathalf	5	14	n	d.02m.02
afACaaph	10	18	18	8	8	12	0	0	ColonyNewVersion	allpathalf	5	15	h	d.02m.02
afACaapl	10	13	13	4	4	6	0	0	ColonyNewVersion	allpathalf	5	15	l	d.02m.02
afACaapn	10	12	12	2	2	3	0	0	ColonyNewVersion	allpathalf	5	15	n	d.02m.02
afADaabh	10	1	1	1	1	390	0	0	ColonyNewVersion	lotta_large	5	1	h	d.02m.02
afADaabl	10	1	1	1	1	390	0	0	ColonyNewVersion	lotta_large	5	1	l	d.02m.02
afADaabn	10	0	0	0	0	390	0	0	ColonyNewVersion	lotta_large	5	1	n	d.02m.02
afADaach	10	0	0	0	0	390	0	0	ColonyNewVersion	lotta_large	5	2	h	d.02m.02
afADaacl	10	0	0	0	0	390	0	0	ColonyNewVersion	lotta_large	5	2	l	d.02m.02
afADaacn	10	0	0	0	0	390	0	0	ColonyNewVersion	lotta_large	5	2	n	d.02m.02
afADaadh	10	1	1	1	1	390	0	0	ColonyNewVersion	lotta_large	5	3	h	d.02m.02
afADaadl	10	1	1	1	1	390	0	0	ColonyNewVersion	lotta_large	5	3	l	d.02m.02
afADaadn	10	1	1	1	1	390	0	0	ColonyNewVersion	lotta_large	5	3	n	d.02m.02
afADaaeh	10	1	1	1	1	390	0	0	ColonyNewVersion	lotta_large	5	4	h	d.02m.02
afADaael	10	0	0	0	0	390	0	0	ColonyNewVersion	lotta_large	5	4	l	d.02m.02
afADaaen	10	0	0	0	0	390	0	0	ColonyNewVersion	lotta_large	5	4	n	d.02m.02
afADaafh	10	1	1	1	1	390	0	0	ColonyNewVersion	lotta_large	5	5	h	d.02m.02
afADaafl	10	0	0	0	0	390	0	0	ColonyNewVersion	lotta_large	5	5	l	d.02m.02
afADaafn	10	0	0	0	0	390	0	0	ColonyNewVersion	lotta_large	5	5	n	d.02m.02
afAEaabh	10	15	15	2	2	3	0	0	ColonyNewVersion	nosibs	5	1	h	d.02m.02
afAEaabl	10	16	16	2	2	3	0	0	ColonyNewVersion	nosibs	5	1	l	d.02m.02
afAEaabn	10	17	17	2	2	3	0	0	ColonyNewVersion	nosibs	5	1	n	d.02m.02
afAEaach	10	10	10	2	2	3	0	0	ColonyNewVersion	nosibs	5	2	h	d.02m.02
afAEaacl	10	16	16	2	2	3	0	0	ColonyNewVersion	nosibs	5	2	l	d.02m.02
afAEaacn	10	13	13	2	2	3	0	0	ColonyNewVersion	nosibs	5	2	n	d.02m.02
afAEaadh	10	11	11	2	2	3	0	0	ColonyNewVersion	nosibs	5	3	h	d.02m.02
afAEaadl	10	12	12	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	3	l	d.02m.02
afAEaadn	10	11	11	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	3	n	d.02m.02
afAEaaeh	10	16	16	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	4	h	d.02m.02
afAEaael	10	15	15	4	4	6	0	0	ColonyNewVersion	nosibs	5	4	l	d.02m.02
afAEaaen	10	11	11	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	4	n	d.02m.02
afAEaafh	10	14	14	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	5	h	d.02m.02
afAEaafl	10	16	16	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	5	l	d.02m.02
afAEaafn	10	16	16	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	5	n	d.02m.02
afAEaagh	10	14	14	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	6	h	d.02m.02
afAEaagl	10	15	15	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	6	l	d.02m.02
afAEaagn	10	13	13	2	2	3	0	0	ColonyNewVersion	nosibs	5	6	n	d.02m.02
afAEaahh	10	16	16	2	2	3	0	0	ColonyNewVersion	nosibs	5	7	h	d.02m.02
afAEaahl	10	13	13	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	7	l	d.02m.02
afAEaahn	10	9	9	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	7	n	d.02m.02
afAEaaih	10	18	18	2	2	3	0	0	ColonyNewVersion	nosibs	5	8	h	d.02m.02
afAEaail	10	10	10	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	8	l	d.02m.02
afAEaain	10	14	14	4	4	6	0	0	ColonyNewVersion	nosibs	5	8	n	d.02m.02
afAEaajh	10	18	18	4	4	6	0	0	ColonyNewVersion	nosibs	5	9	h	d.02m.02
afAEaajl	10	12	12	4	4	6	0	0	ColonyNewVersion	nosibs	5	9	l	d.02m.02
afAEaajn	10	16	16	4	4	6	0	0	ColonyNewVersion	nosibs	5	9	n	d.02m.02
afAEaakh	10	13	13	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	10	h	d.02m.02
afAEaakl	10	7	7	2	2	3	0	0	ColonyNewVersion	nosibs	5	10	l	d.02m.02
afAEaakn	10	12	12	2	2	3	0	0	ColonyNewVersion	nosibs	5	10	n	d.02m.02
afAEaalh	10	12	12	2	2	3	0	0	ColonyNewVersion	nosibs	5	11	h	d.02m.02
afAEaall	10	12	12	2	2	3	0	0	ColonyNewVersion	nosibs	5	11	l	d.02m.02
afAEaaln	10	15	15	4	4	6	0	0	ColonyNewVersion	nosibs	5	11	n	d.02m.02
afAEaamh	10	14	14	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	12	h	d.02m.02
afAEaaml	10	9	9	2	2	3	0	0	ColonyNewVersion	nosibs	5	12	l	d.02m.02
afAEaamn	10	15	15	4	4	6	0	0	ColonyNewVersion	nosibs	5	12	n	d.02m.02
afAEaanh	10	13	13	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	13	h	d.02m.02
afAEaanl	10	15	15	2	2	3	0	0	ColonyNewVersion	nosibs	5	13	l	d.02m.02
afAEaann	10	16	16	2	2	3	0	0	ColonyNewVersion	nosibs	5	13	n	d.02m.02
afAEaaoh	10	13	13	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	14	h	d.02m.02
afAEaaol	10	11	11	NA	NA	0	0	0	ColonyNewVersion	nosibs	5	14	l	d.02m.02
afAEaaon	10	16	16	2	2	3	0	0	ColonyNewVersion	nosibs	5	14	n	d.02m.02
afAEaaph	10	18	18	2	2	3	0	0	ColonyNewVersion	nosibs	5	15	h	d.02m.02
afAEaapl	10	15	15	2	2	3	0	0	ColonyNewVersion	nosibs	5	15	l	d.02m.02
afAEaapn	10	15	15	4	4	6	0	0	ColonyNewVersion	nosibs	5	15	n	d.02m.02
afAFaabh	10	8	8	2	2	33	0	0	ColonyNewVersion	onelarge_noh	5	1	h	d.02m.02
afAFaabl	10	6	6	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	1	l	d.02m.02
afAFaabn	10	6	6	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	1	n	d.02m.02
afAFaach	10	9	9	4	4	33	0	0	ColonyNewVersion	onelarge_noh	5	2	h	d.02m.02
afAFaacl	10	6	6	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	2	l	d.02m.02
afAFaacn	10	6	6	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	2	n	d.02m.02
