Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Version	Scenario	NumAlleles	Number	GenoError	gtyp.err.assumption
afACaaol	10	37	37	24	24	33	0	0	ColonyNewVersionPairwise	allpathalf	5	14	l	d.02m.02
afACaaon	10	37	37	24	24	33	0	0	ColonyNewVersionPairwise	allpathalf	5	14	n	d.02m.02
afACaaph	10	32	32	11	11	16	0	0	ColonyNewVersionPairwise	allpathalf	5	15	h	d.02m.02
afACaapl	10	27	27	9	9	13	0	0	ColonyNewVersionPairwise	allpathalf	5	15	l	d.02m.02
afACaapn	10	30	30	17	17	24	0	0	ColonyNewVersionPairwise	allpathalf	5	15	n	d.02m.02
afADaabh	10	7	7	7	7	390	0	0	ColonyNewVersionPairwise	lotta_large	5	1	h	d.02m.02
afADaabl	10	7	7	7	7	390	0	0	ColonyNewVersionPairwise	lotta_large	5	1	l	d.02m.02
afADaabn	10	5	5	5	5	390	0	0	ColonyNewVersionPairwise	lotta_large	5	1	n	d.02m.02
afADaach	10	6	6	6	6	390	0	0	ColonyNewVersionPairwise	lotta_large	5	2	h	d.02m.02
afADaacl	10	2	2	2	2	390	0	0	ColonyNewVersionPairwise	lotta_large	5	2	l	d.02m.02
afADaacn	10	2	2	2	2	390	0	0	ColonyNewVersionPairwise	lotta_large	5	2	n	d.02m.02
afADaadh	10	14	14	14	14	390	0	0	ColonyNewVersionPairwise	lotta_large	5	3	h	d.02m.02
afADaadl	10	16	16	16	16	390	0	0	ColonyNewVersionPairwise	lotta_large	5	3	l	d.02m.02
afADaadn	10	10	10	10	10	390	0	0	ColonyNewVersionPairwise	lotta_large	5	3	n	d.02m.02
afADaaeh	10	13	13	13	13	390	0	0	ColonyNewVersionPairwise	lotta_large	5	4	h	d.02m.02
afADaael	10	7	7	7	7	390	0	0	ColonyNewVersionPairwise	lotta_large	5	4	l	d.02m.02
afADaaen	10	4	4	4	4	390	0	0	ColonyNewVersionPairwise	lotta_large	5	4	n	d.02m.02
afADaafh	10	34	34	34	34	390	0	0	ColonyNewVersionPairwise	lotta_large	5	5	h	d.02m.02
afADaafl	10	44	44	44	44	390	0	0	ColonyNewVersionPairwise	lotta_large	5	5	l	d.02m.02
afADaafn	10	52	52	52	52	390	0	0	ColonyNewVersionPairwise	lotta_large	5	5	n	d.02m.02
afAEaabh	10	28	28	13	13	18	0	0	ColonyNewVersionPairwise	nosibs	5	1	h	d.02m.02
afAEaabl	10	31	31	16	16	23	0	0	ColonyNewVersionPairwise	nosibs	5	1	l	d.02m.02
afAEaabn	10	32	32	17	17	24	0	0	ColonyNewVersionPairwise	nosibs	5	1	n	d.02m.02
afAEaach	10	29	29	17	17	25	0	0	ColonyNewVersionPairwise	nosibs	5	2	h	d.02m.02
afAEaacl	10	30	30	14	14	20	0	0	ColonyNewVersionPairwise	nosibs	5	2	l	d.02m.02
afAEaacn	10	30	30	17	17	25	0	0	ColonyNewVersionPairwise	nosibs	5	2	n	d.02m.02
afAEaadh	10	25	25	8	8	12	0	0	ColonyNewVersionPairwise	nosibs	5	3	h	d.02m.02
afAEaadl	10	23	23	13	13	19	0	0	ColonyNewVersionPairwise	nosibs	5	3	l	d.02m.02
afAEaadn	10	20	20	8	8	12	0	0	ColonyNewVersionPairwise	nosibs	5	3	n	d.02m.02
afAEaaeh	10	26	26	6	6	9	0	0	ColonyNewVersionPairwise	nosibs	5	4	h	d.02m.02
afAEaael	10	26	26	10	10	15	0	0	ColonyNewVersionPairwise	nosibs	5	4	l	d.02m.02
afAEaaen	10	25	25	8	8	12	0	0	ColonyNewVersionPairwise	nosibs	5	4	n	d.02m.02
afAEaafh	10	31	31	20	20	28	0	0	ColonyNewVersionPairwise	nosibs	5	5	h	d.02m.02
afAEaafl	10	31	31	17	17	23	0	0	ColonyNewVersionPairwise	nosibs	5	5	l	d.02m.02
afAEaafn	10	29	29	19	19	27	0	0	ColonyNewVersionPairwise	nosibs	5	5	n	d.02m.02
afAEaagh	10	27	27	9	9	13	0	0	ColonyNewVersionPairwise	nosibs	5	6	h	d.02m.02
afAEaagl	10	27	27	7	7	10	0	0	ColonyNewVersionPairwise	nosibs	5	6	l	d.02m.02
afAEaagn	10	24	24	9	9	13	0	0	ColonyNewVersionPairwise	nosibs	5	6	n	d.02m.02
afAEaahh	10	29	29	14	14	21	0	0	ColonyNewVersionPairwise	nosibs	5	7	h	d.02m.02
afAEaahl	10	25	25	7	7	10	0	0	ColonyNewVersionPairwise	nosibs	5	7	l	d.02m.02
afAEaahn	10	28	28	10	10	14	0	0	ColonyNewVersionPairwise	nosibs	5	7	n	d.02m.02
afAEaaih	10	29	29	15	15	21	0	0	ColonyNewVersionPairwise	nosibs	5	8	h	d.02m.02
afAEaail	10	28	28	17	17	25	0	0	ColonyNewVersionPairwise	nosibs	5	8	l	d.02m.02
afAEaain	10	29	29	13	13	18	0	0	ColonyNewVersionPairwise	nosibs	5	8	n	d.02m.02
afAEaajh	10	31	31	18	18	26	0	0	ColonyNewVersionPairwise	nosibs	5	9	h	d.02m.02
afAEaajl	10	30	30	16	16	23	0	0	ColonyNewVersionPairwise	nosibs	5	9	l	d.02m.02
afAEaajn	10	34	34	21	21	31	0	0	ColonyNewVersionPairwise	nosibs	5	9	n	d.02m.02
afAEaakh	10	28	28	15	15	21	0	0	ColonyNewVersionPairwise	nosibs	5	10	h	d.02m.02
afAEaakl	10	28	28	12	12	17	0	0	ColonyNewVersionPairwise	nosibs	5	10	l	d.02m.02
afAEaakn	10	28	28	10	10	14	0	0	ColonyNewVersionPairwise	nosibs	5	10	n	d.02m.02
afAEaalh	10	28	28	15	15	21	0	0	ColonyNewVersionPairwise	nosibs	5	11	h	d.02m.02
afAEaall	10	29	29	17	17	25	0	0	ColonyNewVersionPairwise	nosibs	5	11	l	d.02m.02
afAEaaln	10	28	28	11	11	16	0	0	ColonyNewVersionPairwise	nosibs	5	11	n	d.02m.02
afAEaamh	10	28	28	12	12	17	0	0	ColonyNewVersionPairwise	nosibs	5	12	h	d.02m.02
afAEaaml	10	25	25	16	16	23	0	0	ColonyNewVersionPairwise	nosibs	5	12	l	d.02m.02
afAEaamn	10	25	25	9	9	13	0	0	ColonyNewVersionPairwise	nosibs	5	12	n	d.02m.02
afAEaanh	10	26	26	11	11	16	0	0	ColonyNewVersionPairwise	nosibs	5	13	h	d.02m.02
afAEaanl	10	33	33	24	24	32	0	0	ColonyNewVersionPairwise	nosibs	5	13	l	d.02m.02
afAEaann	10	33	33	21	21	29	0	0	ColonyNewVersionPairwise	nosibs	5	13	n	d.02m.02
afAEaaoh	10	23	23	4	4	6	0	0	ColonyNewVersionPairwise	nosibs	5	14	h	d.02m.02
afAEaaol	10	29	29	14	14	21	0	0	ColonyNewVersionPairwise	nosibs	5	14	l	d.02m.02
afAEaaon	10	28	28	12	12	18	0	0	ColonyNewVersionPairwise	nosibs	5	14	n	d.02m.02
afAEaaph	10	28	28	12	12	17	0	0	ColonyNewVersionPairwise	nosibs	5	15	h	d.02m.02
afAEaapl	10	30	30	15	15	21	0	0	ColonyNewVersionPairwise	nosibs	5	15	l	d.02m.02
afAEaapn	10	26	26	10	10	15	0	0	ColonyNewVersionPairwise	nosibs	5	15	n	d.02m.02
afAFaabh	10	16	16	6	6	36	0	0	ColonyNewVersionPairwise	onelarge_noh	5	1	h	d.02m.02
afAFaabl	10	14	14	7	7	40	0	0	ColonyNewVersionPairwise	onelarge_noh	5	1	l	d.02m.02
afAFaabn	10	14	14	5	5	37	0	0	ColonyNewVersionPairwise	onelarge_noh	5	1	n	d.02m.02
afAFaach	10	18	18	10	10	42	0	0	ColonyNewVersionPairwise	onelarge_noh	5	2	h	d.02m.02
afAFaacl	10	17	17	7	7	37	0	0	ColonyNewVersionPairwise	onelarge_noh	5	2	l	d.02m.02
afAFaacn	10	14	14	6	6	39	0	0	ColonyNewVersionPairwise	onelarge_noh	5	2	n	d.02m.02
afAFaadh	10	15	15	5	5	37	0	0	ColonyNewVersionPairwise	onelarge_noh	5	3	h	d.02m.02
afAFaadl	10	14	14	4	4	36	0	0	ColonyNewVersionPairwise	onelarge_noh	5	3	l	d.02m.02
afAFaadn	10	15	15	4	4	36	0	0	ColonyNewVersionPairwise	onelarge_noh	5	3	n	d.02m.02
