Scenario	NumAlleles	Number	GenoError	Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Seconds
allpathalf	5	24	l	afACaayl	10	4	75	4	75	75	75	75	81
allpathalf	5	24	n	afACaayn	10	6	75	6	75	75	75	75	81
allpathalf	5	25	h	afACaazh	10	3	75	3	75	75	75	75	86
allpathalf	5	25	l	afACaazl	10	6	75	6	75	75	75	75	82
allpathalf	5	25	n	afACaazn	10	6	75	6	75	75	75	75	87
allpathalf	5	26	h	afACabah	10	3	75	3	75	75	75	75	81
allpathalf	5	26	l	afACabal	10	0	75	0	75	75	75	75	83
allpathalf	5	26	n	afACaban	10	3	75	3	75	75	75	75	78
allpathalf	5	27	h	afACabbh	10	3	75	3	74	74	75	74	83
allpathalf	5	27	l	afACabbl	10	51	51	51	51	75	0	0	77
allpathalf	5	27	n	afACabbn	10	6	75	6	75	75	75	75	83
allpathalf	5	28	h	afACabch	10	5	75	5	75	75	75	75	78
allpathalf	5	28	l	afACabcl	10	1	75	1	75	75	75	75	81
allpathalf	5	28	n	afACabcn	10	3	75	3	75	75	75	75	81
allpathalf	5	29	h	afACabdh	10	51	51	51	51	75	3	3	79
allpathalf	5	29	l	afACabdl	10	8	75	8	74	74	75	74	84
allpathalf	5	29	n	afACabdn	10	9	75	9	75	75	75	75	82
allpathalf	5	30	h	afACabeh	10	3	75	3	75	75	75	75	86
allpathalf	5	30	l	afACabel	10	9	75	9	75	75	75	75	83
allpathalf	5	30	n	afACaben	10	9	75	9	75	75	75	75	80
allpathalf	5	31	h	afACabfh	10	3	75	3	75	75	75	75	83
allpathalf	5	31	l	afACabfl	10	4	75	4	75	75	75	75	79
allpathalf	5	31	n	afACabfn	10	7	75	7	75	75	75	75	85
allpathalf	5	32	h	afACabgh	10	50	50	48	50	72	1	1	79
allpathalf	5	32	l	afACabgl	10	3	75	3	75	75	75	75	84
allpathalf	5	32	n	afACabgn	10	5	75	5	73	73	75	73	79
allpathalf	5	33	h	afACabhh	10	4	75	4	75	75	75	75	83
allpathalf	5	33	l	afACabhl	10	3	75	3	75	75	75	75	79
allpathalf	5	33	n	afACabhn	10	6	75	6	75	75	75	75	85
allpathalf	5	34	h	afACabih	10	51	51	50	50	73	0	0	79
allpathalf	5	34	l	afACabil	10	7	75	7	73	73	75	73	86
allpathalf	5	34	n	afACabin	10	7	75	7	74	74	75	74	80
allpathalf	5	35	h	afACabjh	10	6	75	6	75	75	75	75	83
allpathalf	5	35	l	afACabjl	10	9	75	9	74	74	75	74	80
allpathalf	5	35	n	afACabjn	10	12	75	12	75	75	75	75	87
allpathalf	5	36	h	afACabkh	10	3	75	3	75	75	75	75	83
allpathalf	5	36	l	afACabkl	10	6	75	6	75	75	75	75	80
allpathalf	5	36	n	afACabkn	10	7	75	7	75	75	75	75	85
allpathalf	5	37	h	afACablh	10	0	75	0	75	75	75	75	82
allpathalf	5	37	l	afACabll	10	3	75	3	75	75	75	75	83
allpathalf	5	37	n	afACabln	10	6	75	6	75	75	75	75	83
allpathalf	5	38	h	afACabmh	10	3	75	3	75	75	75	75	77
allpathalf	5	38	l	afACabml	10	3	75	3	75	75	75	75	83
allpathalf	5	38	n	afACabmn	10	52	52	52	52	75	0	0	77
allpathalf	5	39	h	afACabnh	10	2	75	2	75	75	75	75	82
allpathalf	5	39	l	afACabnl	10	6	75	6	75	75	75	75	85
allpathalf	5	39	n	afACabnn	10	6	75	6	75	75	75	75	80
allpathalf	5	40	h	afACaboh	10	4	75	4	75	75	75	75	84
allpathalf	5	40	l	afACabol	10	3	75	3	75	75	75	75	79
allpathalf	5	40	n	afACabon	10	0	75	0	75	75	75	75	89
allpathalf	5	41	h	afACabph	10	5	75	5	73	73	75	73	80
allpathalf	5	41	l	afACabpl	10	3	75	3	75	75	75	75	84
allpathalf	5	41	n	afACabpn	10	7	75	7	75	75	75	75	81
allpathalf	5	42	h	afACabqh	10	2	75	2	74	74	75	74	86
allpathalf	5	42	l	afACabql	10	3	75	3	75	75	75	75	80
allpathalf	5	42	n	afACabqn	10	7	75	7	73	73	75	73	84
allpathalf	5	43	h	afACabrh	10	3	75	3	75	75	75	75	81
allpathalf	5	43	l	afACabrl	10	3	75	3	75	75	75	75	81
allpathalf	5	43	n	afACabrn	10	51	51	50	51	73	2	2	79
allpathalf	5	44	h	afACabsh	10	3	75	3	75	75	75	75	83
allpathalf	5	44	l	afACabsl	10	6	75	6	75	75	75	75	79
allpathalf	5	44	n	afACabsn	10	9	75	9	75	75	75	75	84
allpathalf	5	45	h	afACabth	10	4	75	4	75	75	75	75	78
allpathalf	5	45	l	afACabtl	10	6	75	6	75	75	75	75	81
allpathalf	5	45	n	afACabtn	10	9	75	9	75	75	75	75	88
allpathalf	5	46	h	afACabuh	10	3	75	3	75	75	75	75	81
allpathalf	5	46	l	afACabul	10	3	75	3	75	75	75	75	87
allpathalf	5	46	n	afACabun	10	6	75	6	75	75	75	75	82
allpathalf	5	47	h	afACabvh	10	3	75	3	75	75	75	75	78
allpathalf	5	47	l	afACabvl	10	3	75	3	75	75	75	75	82
allpathalf	5	47	n	afACabvn	10	7	75	7	73	73	75	73	82
allpathalf	5	48	h	afACabwh	10	3	75	3	74	74	75	74	81
allpathalf	5	48	l	afACabwl	10	4	75	4	74	74	75	74	86
allpathalf	5	48	n	afACabwn	10	3	75	3	75	75	75	75	82
allpathalf	5	49	h	afACabxh	10	50	50	48	50	71	1	1	76
allpathalf	5	49	l	afACabxl	10	5	75	5	73	73	75	73	81
allpathalf	5	49	n	afACabxn	10	7	75	7	75	75	75	75	84
allpathalf	5	50	h	afACabyh	10	5	75	5	75	75	75	75	81
allpathalf	5	50	l	afACabyl	10	7	75	7	73	73	75	73	82
allpathalf	5	50	n	afACabyn	10	9	75	9	75	75	75	75	86
nosibs	5	1	h	afAEaabh	10	3	75	3	75	75	75	75	81
nosibs	5	1	l	afAEaabl	10	3	75	3	75	75	75	75	86
nosibs	5	1	n	afAEaabn	10	6	75	6	75	75	75	75	82
nosibs	5	2	h	afAEaach	10	2	75	2	74	74	75	74	75
nosibs	5	2	l	afAEaacl	10	4	75	4	73	73	75	73	81
nosibs	5	2	n	afAEaacn	10	5	75	5	74	74	75	74	86
nosibs	5	3	h	afAEaadh	10	2	75	2	73	73	75	73	80
nosibs	5	3	l	afAEaadl	10	0	75	0	75	75	75	75	82
nosibs	5	3	n	afAEaadn	10	51	51	51	51	75	1	1	79
nosibs	5	4	h	afAEaaeh	10	1	75	1	72	72	75	72	84
nosibs	5	4	l	afAEaael	10	4	75	4	75	75	75	75	78
nosibs	5	4	n	afAEaaen	10	3	75	3	75	75	75	75	79
nosibs	5	5	h	afAEaafh	10	3	75	3	75	75	75	75	82
nosibs	5	5	l	afAEaafl	10	3	75	3	75	75	75	75	79
nosibs	5	5	n	afAEaafn	10	7	75	7	75	75	75	75	85
nosibs	5	6	h	afAEaagh	10	4	75	4	73	73	75	73	80
nosibs	5	6	l	afAEaagl	10	3	75	3	75	75	75	75	86
