"","Code","NumLoc","Version","part.dist","part.dist2","trimmed.part.dist","trimmed.part.dist2","trimmed.num","num.dupl.elems","num.dupl.when.trimmed","Scenario","NumAlleles","Number","GenoError","gtyp.err.assumption","Minutes"
"96","afABaahl",5,"ColonyNewVersionPairwise",47,47,44,44,56,0,0,"allhalf",5,7,"l","d.02m.02",0.4
"97","afABaahl",10,"ColonyNewVersionPairwise",33,33,11,11,16,0,0,"allhalf",5,7,"l","d.02m.02",0.5
"98","afABaahl",15,"ColonyNewVersionPairwise",24,24,6,6,9,0,0,"allhalf",5,7,"l","d.02m.02",0.6
"99","afABaahl",20,"ColonyNewVersionPairwise",24,24,8,8,12,0,0,"allhalf",5,7,"l","d.02m.02",0.516666666666667
"100","afABaahl",25,"ColonyNewVersionPairwise",24,24,14,14,21,0,0,"allhalf",5,7,"l","d.02m.02",0.6
"101","afABaahn",5,"ColonyNewVersionPairwise",46,46,40,40,53,0,0,"allhalf",5,7,"n","d.02m.02",0.45
"102","afABaahn",10,"ColonyNewVersionPairwise",36,36,19,19,27,0,0,"allhalf",5,7,"n","d.02m.02",0.516666666666667
"103","afABaahn",15,"ColonyNewVersionPairwise",23,23,10,10,15,0,0,"allhalf",5,7,"n","d.02m.02",0.55
"104","afABaahn",20,"ColonyNewVersionPairwise",24,24,8,8,12,0,0,"allhalf",5,7,"n","d.02m.02",0.616666666666667
"105","afABaahn",25,"ColonyNewVersionPairwise",25,25,16,16,24,0,0,"allhalf",5,7,"n","d.02m.02",0.583333333333333
"106","afABaaih",5,"ColonyNewVersionPairwise",47,47,41,41,54,0,0,"allhalf",5,8,"h","d.02m.02",0.483333333333333
"107","afABaaih",10,"ColonyNewVersionPairwise",35,35,24,24,33,0,0,"allhalf",5,8,"h","d.02m.02",0.516666666666667
"108","afABaaih",15,"ColonyNewVersionPairwise",24,24,7,7,10,0,0,"allhalf",5,8,"h","d.02m.02",0.516666666666667
"109","afABaaih",20,"ColonyNewVersionPairwise",18,18,7,7,10,0,0,"allhalf",5,8,"h","d.02m.02",0.583333333333333
"110","afABaaih",25,"ColonyNewVersionPairwise",17,17,2,2,3,0,0,"allhalf",5,8,"h","d.02m.02",0.533333333333333
"111","afABaail",5,"ColonyNewVersionPairwise",49,49,45,45,58,0,0,"allhalf",5,8,"l","d.02m.02",0.416666666666667
"112","afABaail",10,"ColonyNewVersionPairwise",35,35,20,20,27,0,0,"allhalf",5,8,"l","d.02m.02",0.566666666666667
"113","afABaail",15,"ColonyNewVersionPairwise",26,26,8,8,11,0,0,"allhalf",5,8,"l","d.02m.02",0.6
"114","afABaail",20,"ColonyNewVersionPairwise",25,25,11,11,16,0,0,"allhalf",5,8,"l","d.02m.02",0.483333333333333
"115","afABaail",25,"ColonyNewVersionPairwise",17,17,4,4,6,0,0,"allhalf",5,8,"l","d.02m.02",0.6
"116","afABaain",5,"ColonyNewVersionPairwise",46,46,43,43,56,0,0,"allhalf",5,8,"n","d.02m.02",0.45
"117","afABaain",10,"ColonyNewVersionPairwise",33,33,19,19,26,0,0,"allhalf",5,8,"n","d.02m.02",0.55
"118","afABaain",15,"ColonyNewVersionPairwise",29,29,15,15,21,0,0,"allhalf",5,8,"n","d.02m.02",0.566666666666667
"119","afABaain",20,"ColonyNewVersionPairwise",27,27,13,13,18,0,0,"allhalf",5,8,"n","d.02m.02",0.533333333333333
"120","afABaain",25,"ColonyNewVersionPairwise",19,19,4,4,6,0,0,"allhalf",5,8,"n","d.02m.02",0.55
"121","afABaajh",5,"ColonyNewVersionPairwise",46,46,34,34,43,0,0,"allhalf",5,9,"h","d.02m.02",0.416666666666667
"122","afABaajh",10,"ColonyNewVersionPairwise",30,30,14,14,20,0,0,"allhalf",5,9,"h","d.02m.02",0.55
"123","afABaajh",15,"ColonyNewVersionPairwise",25,25,8,8,12,0,0,"allhalf",5,9,"h","d.02m.02",0.633333333333333
"124","afABaajh",20,"ColonyNewVersionPairwise",19,19,6,6,9,0,0,"allhalf",5,9,"h","d.02m.02",0.65
"125","afABaajh",25,"ColonyNewVersionPairwise",17,17,8,8,12,0,0,"allhalf",5,9,"h","d.02m.02",0.616666666666667
"126","afABaajl",5,"ColonyNewVersionPairwise",45,45,36,36,47,0,0,"allhalf",5,9,"l","d.02m.02",0.466666666666667
"127","afABaajl",10,"ColonyNewVersionPairwise",36,36,21,21,31,0,0,"allhalf",5,9,"l","d.02m.02",0.583333333333333
"128","afABaajl",15,"ColonyNewVersionPairwise",26,26,11,11,16,0,0,"allhalf",5,9,"l","d.02m.02",0.566666666666667
"129","afABaajl",20,"ColonyNewVersionPairwise",23,23,8,8,12,0,0,"allhalf",5,9,"l","d.02m.02",0.55
"130","afABaajl",25,"ColonyNewVersionPairwise",16,16,4,4,6,0,0,"allhalf",5,9,"l","d.02m.02",0.6
"131","afABaajn",5,"ColonyNewVersionPairwise",45,45,37,37,48,0,0,"allhalf",5,9,"n","d.02m.02",0.5
"132","afABaajn",10,"ColonyNewVersionPairwise",34,34,21,21,30,0,0,"allhalf",5,9,"n","d.02m.02",0.5
