"","Code","NumLoc","Version","part.dist","part.dist2","trimmed.part.dist","trimmed.part.dist2","trimmed.num","num.dupl.elems","num.dupl.when.trimmed","Scenario","NumAlleles","Number","GenoError","gtyp.err.assumption","Minutes"
"75","afABaafn",25,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,5,"n","d.02m.02",5.06666666666667
"76","afABaagh",5,"ColonyNewVersion",32,32,14,14,18,0,0,"allhalf",5,6,"h","d.02m.02",2.73333333333333
"77","afABaagh",10,"ColonyNewVersion",20,20,6,6,9,0,0,"allhalf",5,6,"h","d.02m.02",3.73333333333333
"78","afABaagh",15,"ColonyNewVersion",7,7,NA,NA,0,0,0,"allhalf",5,6,"h","d.02m.02",3.95
"79","afABaagh",20,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,6,"h","d.02m.02",4.78333333333333
"80","afABaagh",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,6,"h","d.02m.02",6.75
"81","afABaagl",5,"ColonyNewVersion",26,26,10,10,14,0,0,"allhalf",5,6,"l","d.02m.02",2.8
"82","afABaagl",10,"ColonyNewVersion",18,18,6,6,9,0,0,"allhalf",5,6,"l","d.02m.02",3.31666666666667
"83","afABaagl",15,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,6,"l","d.02m.02",3.36666666666667
"84","afABaagl",20,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,6,"l","d.02m.02",5.21666666666667
"85","afABaagl",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,6,"l","d.02m.02",4.68333333333333
"86","afABaagn",5,"ColonyNewVersion",28,28,13,13,18,0,0,"allhalf",5,6,"n","d.02m.02",2.46666666666667
"87","afABaagn",10,"ColonyNewVersion",16,16,4,4,6,0,0,"allhalf",5,6,"n","d.02m.02",2.91666666666667
"88","afABaagn",15,"ColonyNewVersion",6,6,NA,NA,0,0,0,"allhalf",5,6,"n","d.02m.02",2.93333333333333
"89","afABaagn",20,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,6,"n","d.02m.02",5.2
"90","afABaagn",25,"ColonyNewVersion",0,0,NA,NA,0,0,0,"allhalf",5,6,"n","d.02m.02",5
"91","afABaahh",5,"ColonyNewVersion",34,34,18,18,25,0,0,"allhalf",5,7,"h","d.02m.02",2.58333333333333
"92","afABaahh",10,"ColonyNewVersion",19,19,4,4,6,0,0,"allhalf",5,7,"h","d.02m.02",3.13333333333333
