Scenario	NumAlleles	Number	GenoError	Code	NumLoc	gtyp.err.assumption	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Minutes
slfsg_noh	5	2	h	afAJaach	5	d0m0	30	30	29	29	60	0	0	3.41667
slfsg_noh	5	2	l	afAJaacl	5	d0m0	27	27	25	25	57	0	0	3.31667
slfsg_noh	5	2	n	afAJaacn	5	d0m0	19	19	16	16	60	0	0	3.73333
slfsg_noh	5	3	h	afAJaadh	5	d0m0	30	30	29	29	61	0	0	3.96667
slfsg_noh	5	3	l	afAJaadl	5	d0m0	26	26	24	24	64	0	0	3.66667
slfsg_noh	5	3	n	afAJaadn	5	d0m0	22	22	19	19	63	0	0	3.68333
slfsg_noh	5	4	h	afAJaaeh	5	d0m0	36	36	32	32	63	0	0	3.11667
slfsg_noh	5	4	l	afAJaael	5	d0m0	28	28	23	23	56	0	0	3.05000
slfsg_noh	5	4	n	afAJaaen	5	d0m0	8	8	4	4	59	0	0	2.93333
slfsg_noh	5	5	h	afAJaafh	5	d0m0	25	25	21	21	62	0	0	4.05000
slfsg_noh	5	5	l	afAJaafl	5	d0m0	14	14	10	10	62	0	0	2.93333
slfsg_noh	5	5	n	afAJaafn	5	d0m0	10	10	7	7	62	0	0	2.65000
slfsg_wh	5	1	h	afAKaabh	5	d0m0	32	32	29	29	61	0	0	3.90000
slfsg_wh	5	1	l	afAKaabl	5	d0m0	20	20	18	18	61	0	0	3.26667
slfsg_wh	5	1	n	afAKaabn	5	d0m0	16	16	15	15	60	0	0	3.26667
slfsg_wh	5	2	h	afAKaach	5	d0m0	33	33	32	32	62	0	0	3.20000
slfsg_wh	5	2	l	afAKaacl	5	d0m0	16	16	13	13	64	0	0	2.81667
slfsg_wh	5	2	n	afAKaacn	5	d0m0	11	11	8	8	65	0	0	3.11667
slfsg_wh	5	3	h	afAKaadh	5	d0m0	33	33	27	27	60	0	0	3.73333
slfsg_wh	5	3	l	afAKaadl	5	d0m0	19	19	16	16	66	0	0	3.48333
slfsg_wh	5	3	n	afAKaadn	5	d0m0	16	16	13	13	66	0	0	3.23333
slfsg_wh	5	4	h	afAKaaeh	5	d0m0	32	32	31	31	64	0	0	3.20000
slfsg_wh	5	4	l	afAKaael	5	d0m0	21	21	19	19	64	0	0	3.85000
slfsg_wh	5	4	n	afAKaaen	5	d0m0	19	19	16	16	61	0	0	3.28333
slfsg_wh	5	5	h	afAKaafh	5	d0m0	36	36	33	33	61	0	0	4.15000
slfsg_wh	5	5	l	afAKaafl	5	d0m0	22	22	21	21	63	0	0	3.06667
slfsg_wh	5	5	n	afAKaafn	5	d0m0	18	18	14	14	61	0	0	3.21667
allhalf	10	1	h	akABaabh	5	d0m0	31	31	11	11	16	0	0	3.08333
allhalf	10	1	l	akABaabl	5	d0m0	30	30	15	15	22	0	0	2.63333
allhalf	10	1	n	akABaabn	5	d0m0	27	27	12	12	18	0	0	3.41667
allhalf	10	2	h	akABaach	5	d0m0	28	28	8	8	12	0	0	2.95000
allhalf	10	2	l	akABaacl	5	d0m0	29	29	17	17	25	0	0	2.93333
allhalf	10	2	n	akABaacn	5	d0m0	28	28	16	16	23	0	0	2.86667
allhalf	10	3	h	akABaadh	5	d0m0	24	24	7	7	10	0	0	3.08333
allhalf	10	3	l	akABaadl	5	d0m0	23	23	8	8	12	0	0	3.38333
allhalf	10	3	n	akABaadn	5	d0m0	24	24	4	4	6	0	0	3.15000
allhalf	10	4	h	akABaaeh	5	d0m0	23	23	9	9	13	0	0	3.48333
allhalf	10	4	l	akABaael	5	d0m0	27	27	8	8	12	0	0	2.91667
allhalf	10	4	n	akABaaen	5	d0m0	26	26	4	4	6	0	0	2.73333
allhalf	10	5	h	akABaafh	5	d0m0	28	28	10	10	15	0	0	2.48333
allhalf	10	5	l	akABaafl	5	d0m0	26	26	8	8	12	0	0	2.95000
